"SG_UF","CD_CARGO","NR_CANDIDATO","NR_TURNO","QT_VOTOS"
"AC",1,12,1,12314
"AC",1,13,1,129022
"AC",1,13,2,121566
"AC",1,14,1,279
"AC",1,15,1,20122
"AC",1,16,1,77
"AC",1,21,1,144
"AC",1,22,1,275582
"AC",1,22,2,287750
"AC",1,27,1,44
"AC",1,30,1,825
"AC",1,44,1,2444
"AC",1,80,1,64
"AC",3,11,1,242100
"AC",3,13,1,103265
"AC",3,15,1,47173
"AC",3,36,1,771
"AC",3,44,1,4773
"AC",3,50,1,1125
"AC",3,55,1,27393
"AL",1,12,1,43542
"AL",1,13,1,974156
"AL",1,13,2,976831
"AL",1,14,1,3020
"AL",1,15,1,67411
"AL",1,16,1,325
"AL",1,21,1,494
"AL",1,22,1,621515
"AL",1,22,2,687827
"AL",1,27,1,139
"AL",1,30,1,2450
"AL",1,44,1,10683
"AL",1,80,1,482
"AL",3,14,1,223585
"AL",3,15,1,708984
"AL",3,15,2,834278
"AL",3,28,1,2110
"AL",3,35,1,2737
"AL",3,44,1,407220
"AL",3,44,2,759984
"AL",3,50,1,17749
"AL",3,55,1,157746
"AM",1,12,1,44527
"AM",1,13,1,1019684
"AM",1,13,2,1004991
"AM",1,14,1,1373
"AM",1,15,1,87060
"AM",1,16,1,393
"AM",1,21,1,476
"AM",1,22,1,880198
"AM",1,22,2,961741
"AM",1,27,1,267
"AM",1,30,1,5212
"AM",1,44,1,17002
"AM",1,80,1,484
"AM",3,12,1,87114
"AM",3,15,1,401817
"AM",3,15,2,795098
"AM",3,19,1,9596
"AM",3,23,1,355377
"AM",3,36,1,1895
"AM",3,44,1,819784
"AM",3,44,2,1039192
"AM",3,50,1,21229
"AM",3,77,1,217588
"AP",1,12,1,14670
"AP",1,13,1,197382
"AP",1,13,2,189918
"AP",1,14,1,359
"AP",1,15,1,27497
"AP",1,16,1,144
"AP",1,21,1,130
"AP",1,22,1,187621
"AP",1,22,2,200547
"AP",1,27,1,62
"AP",1,30,1,1236
"AP",1,44,1,2955
"AP",1,80,1,105
"AP",3,15,1,4510
"AP",3,16,1,1588
"AP",3,28,1,8704
"AP",3,55,1,176208
"AP",3,77,1,222168
"BA",1,12,1,217224
"BA",1,13,1,5873081
"BA",1,13,2,6097815
"BA",1,14,1,4898
"BA",1,15,1,197305
"BA",1,16,1,1148
"BA",1,21,1,2423
"BA",1,22,1,2047599
"BA",1,22,2,2357028
"BA",1,27,1,753
"BA",1,30,1,11605
"BA",1,44,1,65046
"BA",1,80,1,1926
"BA",3,13,1,4019830
"BA",3,13,2,4480464
"BA",3,21,1,5951
"BA",3,22,1,738311
"BA",3,29,1,826
"BA",3,44,1,3316711
"BA",3,44,2,4007023
"BA",3,50,1,48239
"CE",1,12,1,369222
"CE",1,13,1,3578355
"CE",1,13,2,3807891
"CE",1,14,1,2278
"CE",1,15,1,66214
"CE",1,16,1,717
"CE",1,21,1,1579
"CE",1,22,1,1377827
"CE",1,22,2,1634477
"CE",1,27,1,416
"CE",1,30,1,7030
"CE",1,44,1,24497
"CE",1,80,1,1129
"CE",3,12,1,734976
"CE",3,13,1,2808300
"CE",3,16,1,1507
"CE",3,21,1,3015
"CE",3,44,1,1649213
"CE",3,80,1,1881
"DF",1,12,1,74308
"DF",1,13,1,649534
"DF",1,13,2,729295
"DF",1,14,1,1554
"DF",1,15,1,105377
"DF",1,16,1,454
"DF",1,21,1,894
"DF",1,22,1,910397
"DF",1,22,2,1041331
"DF",1,27,1,518
"DF",1,30,1,10342
"DF",1,44,1,7935
"DF",1,80,1,1262
"DF",3,12,1,79597
"DF",3,14,1,94100
"DF",3,15,1,832633
"DF",3,16,1,841
"DF",3,21,1,1155
"DF",3,27,1,4218
"DF",3,43,1,434587
"DF",3,45,1,70584
"DF",3,50,1,13613
"DF",3,55,1,123715
"ES",1,12,1,56221
"ES",1,13,1,897348
"ES",1,13,2,926767
"ES",1,14,1,1752
"ES",1,15,1,85325
"ES",1,16,1,437
"ES",1,21,1,683
"ES",1,22,1,1160030
"ES",1,22,2,1282145
"ES",1,27,1,377
"ES",1,30,1,8341
"ES",1,44,1,9944
"ES",1,80,1,672
"ES",3,16,1,4505
"ES",3,18,1,135512
"ES",3,22,1,800598
"ES",3,22,2,1006021
"ES",3,28,1,1418
"ES",3,30,1,15786
"ES",3,40,1,976652
"ES",3,40,2,1171288
"ES",3,55,1,146177
"GO",1,12,1,90695
"GO",1,13,1,1454723
"GO",1,13,2,1542115
"GO",1,14,1,2303
"GO",1,15,1,170742
"GO",1,16,1,498
"GO",1,21,1,1073
"GO",1,22,1,1920203
"GO",1,22,2,2193041
"GO",1,27,1,397
"GO",1,30,1,11145
"GO",1,44,1,28570
"GO",1,80,1,1120
"GO",3,13,1,243561
"GO",3,21,1,6993
"GO",3,22,1,516579
"GO",3,29,1,258
"GO",3,30,1,9565
"GO",3,44,1,1806892
"GO",3,50,1,19577
"GO",3,51,1,879031
"GO",3,80,1,5400
"MA",1,12,1,96095
"MA",1,13,1,2603454
"MA",1,13,2,2668425
"MA",1,14,1,4357
"MA",1,15,1,78254
"MA",1,16,1,799
"MA",1,21,1,727
"MA",1,22,1,983861
"MA",1,22,2,1082749
"MA",1,27,1,391
"MA",1,30,1,4368
"MA",1,44,1,8709
"MA",1,80,1,630
"MA",3,12,1,714352
"MA",3,16,1,5191
"MA",3,20,1,857744
"MA",3,21,1,1889
"MA",3,27,1,2310
"MA",3,40,1,1769187
"MA",3,50,1,7135
"MA",3,55,1,86573
"MA",3,77,1,5009
"MG",1,12,1,310324
"MG",1,13,1,5802571
"MG",1,13,2,6190960
"MG",1,14,1,7309
"MG",1,15,1,500658
"MG",1,16,1,2612
"MG",1,21,1,4431
"MG",1,22,1,5239264
"MG",1,22,2,6141310
"MG",1,27,1,1588
"MG",1,30,1,98526
"MG",1,44,1,44109
"MG",1,80,1,5241
"MG",3,16,1,12009
"MG",3,21,1,12514
"MG",3,22,1,783800
"MG",3,29,1,2012
"MG",3,30,1,6094136
"MG",3,35,1,15774
"MG",3,45,1,60637
"MG",3,50,1,44898
"MG",3,55,1,3805182
"MG",3,80,1,15604
"MS",1,12,1,29314
"MS",1,13,1,588323
"MS",1,13,2,599547
"MS",1,14,1,1057
"MS",1,15,1,79719
"MS",1,16,1,222
"MS",1,21,1,371
"MS",1,22,1,794206
"MS",1,22,2,880606
"MS",1,27,1,152
"MS",1,30,1,5193
"MS",1,44,1,8082
"MS",1,80,1,350
"MS",3,13,1,135556
"MS",3,15,1,247093
"MS",3,28,1,384275
"MS",3,28,2,612113
"MS",3,29,1,2892
"MS",3,44,1,178599
"MS",3,45,1,361981
"MS",3,45,2,808210
"MS",3,50,1,3251
"MS",3,55,1,124795
"MT",1,12,1,29437
"MT",1,13,1,633748
"MT",1,13,2,652786
"MT",1,14,1,2545
"MT",1,15,1,55989
"MT",1,16,1,250
"MT",1,21,1,406
"MT",1,22,1,1102866
"MT",1,22,2,1216730
"MT",1,27,1,195
"MT",1,30,1,4371
"MT",1,44,1,12715
"MT",1,80,1,366
"MT",3,14,1,233543
"MT",3,43,1,267172
"MT",3,44,1,1114549
"MT",3,50,1,12948
"PA",1,12,1,116057
"PA",1,13,1,2443730
"PA",1,13,2,2509084
"PA",1,14,1,2783
"PA",1,15,1,204075
"PA",1,16,1,918
"PA",1,21,1,920
"PA",1,22,1,1884673
"PA",1,22,2,2073895
"PA",1,27,1,349
"PA",1,30,1,6130
"PA",1,44,1,19297
"PA",1,80,1,1004
"PA",3,15,1,3117276
"PA",3,16,1,5053
"PA",3,22,1,1201079
"PA",3,28,1,31402
"PA",3,35,1,5355
"PA",3,36,1,1309
"PA",3,50,1,56830
"PA",3,77,1,9183
"PB",1,12,1,76225
"PB",1,13,1,1554868
"PB",1,13,2,1601953
"PB",1,14,1,1489
"PB",1,15,1,57154
"PB",1,16,1,332
"PB",1,21,1,634
"PB",1,22,1,717416
"PB",1,22,2,802502
"PB",1,27,1,283
"PB",1,30,1,3996
"PB",1,44,1,8713
"PB",1,80,1,578
"PB",3,15,1,373511
"PB",3,16,1,978
"PB",3,22,1,406604
"PB",3,28,1,2455
"PB",3,29,1,280
"PB",3,40,1,863174
"PB",3,40,2,1221904
"PB",3,45,1,520155
"PB",3,45,2,1104963
"PB",3,50,1,9567
"PE",1,12,1,130015
"PE",1,13,1,3558322
"PE",1,13,2,3640933
"PE",1,14,1,2991
"PE",1,15,1,96570
"PE",1,16,1,765
"PE",1,21,1,1419
"PE",1,22,1,1630938
"PE",1,22,2,1798832
"PE",1,27,1,456
"PE",1,30,1,8633
"PE",1,44,1,20686
"PE",1,80,1,1214
"PE",3,14,1,8020
"PE",3,16,1,1745
"PE",3,21,1,33931
"PE",3,22,1,890220
"PE",3,35,1,2435
"PE",3,40,1,885994
"PE",3,44,1,884941
"PE",3,45,1,1009556
"PE",3,45,2,3113415
"PE",3,50,1,12558
"PE",3,77,1,1175651
"PE",3,77,2,2190264
"PI",1,12,1,59321
"PI",1,13,1,1518008
"PI",1,13,2,1551383
"PI",1,14,1,1122
"PI",1,15,1,42179
"PI",1,16,1,317
"PI",1,21,1,427
"PI",1,22,1,406897
"PI",1,22,2,467065
"PI",1,27,1,150
"PI",1,30,1,2562
"PI",1,44,1,13053
"PI",1,80,1,350
"PI",3,13,1,1115139
"PI",3,16,1,1425
"PI",3,20,1,13209
"PI",3,29,1,1924
"PI",3,33,1,1167
"PI",3,44,1,811806
"PI",3,50,1,4759
"PI",3,51,1,1027
"PR",1,12,1,180599
"PR",1,13,1,2363492
"PR",1,13,2,2506605
"PR",1,14,1,5161
"PR",1,15,1,309685
"PR",1,16,1,1170
"PR",1,21,1,2744
"PR",1,22,1,3628612
"PR",1,22,2,4159343
"PR",1,27,1,1104
"PR",1,30,1,37983
"PR",1,44,1,34125
"PR",1,80,1,2089
"PR",3,12,1,126945
"PR",3,13,1,1598204
"PR",3,16,1,4502
"PR",3,21,1,13577
"PR",3,27,1,50729
"PR",3,29,1,2096
"PR",3,33,1,10337
"PR",3,50,1,43176
"PR",3,55,1,4243292
"RJ",1,12,1,301489
"RJ",1,13,1,3847143
"RJ",1,13,2,4156217
"RJ",1,14,1,7760
"RJ",1,15,1,365969
"RJ",1,16,1,2643
"RJ",1,21,1,4458
"RJ",1,22,1,4831246
"RJ",1,22,2,5403894
"RJ",1,27,1,1546
"RJ",1,30,1,43091
"RJ",1,44,1,44252
"RJ",1,80,1,7080
"RJ",3,12,1,672291
"RJ",3,16,1,12627
"RJ",3,21,1,10852
"RJ",3,22,1,4930288
"RJ",3,30,1,446580
"RJ",3,40,1,2300980
"RJ",3,80,1,27344
"RN",1,12,1,71740
"RN",1,13,1,1264179
"RN",1,13,2,1326785
"RN",1,14,1,860
"RN",1,15,1,38633
"RN",1,16,1,422
"RN",1,21,1,606
"RN",1,22,1,622731
"RN",1,22,2,711381
"RN",1,27,1,243
"RN",1,30,1,2937
"RN",1,44,1,4326
"RN",1,80,1,587
"RN",3,13,1,1066496
"RN",3,16,1,2437
"RN",3,19,1,307330
"RN",3,27,1,1045
"RN",3,28,1,1178
"RN",3,33,1,1325
"RN",3,35,1,39011
"RN",3,50,1,3691
"RN",3,77,1,406461
"RO",1,12,1,19353
"RO",1,13,1,261749
"RO",1,13,2,262904
"RO",1,14,1,749
"RO",1,15,1,31217
"RO",1,16,1,139
"RO",1,21,1,232
"RO",1,22,1,581306
"RO",1,22,2,633236
"RO",1,27,1,111
"RO",1,30,1,2398
"RO",1,44,1,5777
"RO",1,80,1,204
"RO",3,19,1,119583
"RO",3,22,1,315035
"RO",3,22,2,415278
"RO",3,44,1,330656
"RO",3,44,2,458370
"RO",3,50,1,3660
"RO",3,77,1,81421
"RR",1,12,1,6709
"RR",1,13,1,68760
"RR",1,13,2,67128
"RR",1,14,1,190
"RR",1,15,1,12956
"RR",1,16,1,75
"RR",1,21,1,64
"RR",1,22,1,207587
"RR",1,22,2,213518
"RR",1,27,1,37
"RR",1,30,1,794
"RR",1,44,1,1138
"RR",1,80,1,59
"RR",3,11,1,163167
"RR",3,12,1,1878
"RR",3,15,1,118856
"RR",3,43,1,1189
"RR",3,50,1,3843
"RS",1,12,1,190945
"RS",1,13,1,2806672
"RS",1,13,2,2891851
"RS",1,14,1,4394
"RS",1,15,1,317957
"RS",1,16,1,1337
"RS",1,21,1,2399
"RS",1,22,1,3245023
"RS",1,22,2,3733185
"RS",1,27,1,885
"RS",1,30,1,40601
"RS",1,44,1,25207
"RS",1,80,1,2332
"RS",3,11,1,271540
"RS",3,12,1,101611
"RS",3,13,1,1700374
"RS",3,16,1,6252
"RS",3,20,1,126899
"RS",3,21,1,4003
"RS",3,22,1,2382026
"RS",3,22,2,2767786
"RS",3,30,1,38887
"RS",3,40,1,17222
"RS",3,45,1,1702815
"RS",3,45,2,3687126
"SC",1,12,1,88672
"SC",1,13,1,1279216
"SC",1,13,2,1351918
"SC",1,14,1,3369
"SC",1,15,1,191310
"SC",1,16,1,838
"SC",1,21,1,1812
"SC",1,22,1,2694406
"SC",1,22,2,3047630
"SC",1,27,1,567
"SC",1,30,1,48980
"SC",1,44,1,20132
"SC",1,80,1,1682
"SC",3,10,1,693426
"SC",3,11,1,398092
"SC",3,12,1,24809
"SC",3,13,1,710859
"SC",3,13,2,1237016
"SC",3,16,1,4395
"SC",3,22,1,1575912
"SC",3,22,2,2983949
"SC",3,29,1,829
"SC",3,30,1,114087
"SC",3,44,1,555615
"SC",3,90,1,3828
"SE",1,12,1,40247
"SE",1,13,1,828716
"SE",1,13,2,862951
"SE",1,14,1,631
"SE",1,15,1,42073
"SE",1,16,1,589
"SE",1,21,1,364
"SE",1,22,1,378610
"SE",1,22,2,421086
"SE",1,27,1,196
"SE",1,30,1,2194
"SE",1,44,1,4416
"SE",1,80,1,396
"SE",3,13,1,338796
"SE",3,13,2,582940
"SE",3,16,1,646
"SE",3,27,1,2655
"SE",3,45,1,82495
"SE",3,50,1,37366
"SE",3,55,1,294936
"SE",3,55,2,623851
"SE",3,80,1,1044
"SP",1,12,1,898540
"SP",1,13,1,10490032
"SP",1,13,2,11519882
"SP",1,14,1,15784
"SP",1,15,1,1625596
"SP",1,16,1,7450
"SP",1,21,1,14943
"SP",1,22,1,12239989
"SP",1,22,2,14216587
"SP",1,27,1,5015
"SP",1,30,1,183719
"SP",1,44,1,153601
"SP",1,80,1,21665
"SP",3,10,1,9881995
"SP",3,10,2,13480643
"SP",3,12,1,281712
"SP",3,13,1,8337139
"SP",3,13,2,10909371
"SP",3,16,1,14859
"SP",3,21,1,46727
"SP",3,27,1,10778
"SP",3,29,1,5305
"SP",3,30,1,388974
"SP",3,45,1,4296293
"SP",3,80,1,88767
"TO",1,12,1,18141
"TO",1,13,1,434303
"TO",1,13,2,434593
"TO",1,14,1,418
"TO",1,15,1,25209
"TO",1,16,1,90
"TO",1,21,1,149
"TO",1,22,1,379194
"TO",1,22,2,411654
"TO",1,27,1,105
"TO",1,30,1,1266
"TO",1,44,1,2788
"TO",1,80,1,129
"TO",3,10,1,481496
"TO",3,13,1,88143
"TO",3,22,1,186361
"TO",3,27,1,1232
"TO",3,29,1,384
"TO",3,35,1,5043
"TO",3,50,1,2494
"TO",3,55,1,63048
"ZZ",1,12,1,13341
"ZZ",1,13,1,138933
"ZZ",1,13,2,152905
"ZZ",1,14,1,344
"ZZ",1,15,1,13167
"ZZ",1,16,1,464
"ZZ",1,21,1,618
"ZZ",1,22,1,122548
"ZZ",1,22,2,145264
"ZZ",1,27,1,258
"ZZ",1,30,1,3780
"ZZ",1,44,1,753
"ZZ",1,80,1,319
"BR",1,12,1,3599287
"BR",1,13,1,57259504
"BR",1,13,2,60345999
"BR",1,14,1,81129
"BR",1,15,1,4915423
"BR",1,16,1,25625
"BR",1,21,1,45620
"BR",1,22,1,51072345
"BR",1,22,2,58206354
"BR",1,27,1,16604
"BR",1,30,1,559708
"BR",1,44,1,600955
"BR",1,80,1,53519
